K15a16194,"{(1, 1, (0,), (0,)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 5, 37)): 1, (4, 12, (0, 31), (0, 2, 2, 25, 25, 31, 31, 31)): 1, (2, 2, (0, 3, 5, 37), (0, 3, 5, 37)): 1, (3, 3, (0, 2, 2, 25, 25), (0, 2, 2, 25, 25)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 3, 5, 8, 8, 11, 11, 11, 13, 13, 13, 37)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 3, 5, 8, 8, 37, 239, 239, 239)): 1, (4, 24, (0, 2, 2), (0, 2, 2, 2, 2, 3, 3, 3, 3, 5, 8, 8, 8, 8, 37)): 1, (4, 4, (0, 3, 5, 7, 7, 37), (0, 3, 5, 7, 7, 37)): 1}"
K15a19447,"{(1, 1, (0,), (0,)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 3, 5, 8, 8, 37, 239, 239, 239)): 1, (4, 24, (0, 2, 2), (0, 2, 2, 2, 2, 3, 3, 3, 3, 5, 8, 8, 8, 8, 37)): 1, (4, 24, (0, 2, 9), (0, 2, 2, 2, 2, 3, 5, 8, 8, 9, 9, 9, 11, 11, 11, 13, 13, 13, 37)): 1, (4, 12, (0, 31), (0, 2, 2, 25, 25, 31, 31, 31)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 5, 37)): 1, (2, 2, (0, 3, 5, 37), (0, 3, 5, 37)): 1, (3, 3, (0, 2, 2, 25, 25), (0, 2, 2, 25, 25)): 1, (4, 4, (0, 3, 5, 7, 7, 37), (0, 3, 5, 7, 7, 37)): 1}"
K15a57699,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 13, 71), (0, 13, 71)): 1, (3, 3, (0, 5, 5, 19, 19), (0, 5, 5, 19, 19)): 1, (4, 4, (0, 5, 5, 13, 71), (0, 5, 5, 13, 71)): 1}"
K15a58977,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 13, 71), (0, 13, 71)): 1, (4, 4, (0, 5, 5, 13, 71), (0, 5, 5, 13, 71)): 1, (3, 3, (0, 5, 5, 19, 19), (0, 5, 5, 19, 19)): 1}"
K15n10828,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 41), (0, 7, 41)): 1, (3, 3, (0, 29, 29), (0, 29, 29)): 1, (4, 4, (0, 5, 5, 7, 41), (0, 5, 5, 7, 41)): 1}"
K15n8910,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 41), (0, 7, 41)): 1, (3, 3, (0, 29, 29), (0, 29, 29)): 1, (4, 4, (0, 5, 5, 7, 41), (0, 5, 5, 7, 41)): 1}"
K15n121921,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 169), (0, 169)): 1, (3, 3, (0, 61, 61), (0, 61, 61)): 1, (4, 4, (0, 13, 13, 169), (0, 13, 13, 169)): 1}"
K15n121832,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 169), (0, 169)): 1, (3, 3, (0, 61, 61), (0, 61, 61)): 1, (4, 4, (0, 13, 13, 169), (0, 13, 13, 169)): 1}"
K15n1050,"{(1, 1, (0,), (0,)): 1, (4, 24, (0, 4), (0, 0, 0, 2, 2, 2, 2, 2, 2, 4, 4, 11, 13, 29, 29, 29)): 1, (3, 6, (0, 0, 2), (0, 0, 0, 2, 2, 11, 13)): 1, (4, 24, (0, 4, 9, 151), (0, 0, 0, 2, 2, 2, 2, 2, 2, 4, 4, 9, 9, 9, 11, 13, 151, 151, 151)): 1, (4, 24, (0, 2, 4, 509), (0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 8, 8, 11, 13, 509, 509, 509)): 1, (3, 3, (0, 5, 5, 23, 23), (0, 5, 5, 23, 23)): 1, (2, 2, (0, 3, 11, 13), (0, 3, 11, 13)): 1, (4, 4, (0, 3, 11, 11, 11, 13), (0, 3, 11, 11, 11, 13)): 1}"
K14n1189,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 81), (0, 81)): 1, (3, 6, (0,), (0, 3, 27)): 1, (3, 3, (0, 13, 13), (0, 13, 13)): 1, (4, 4, (0, 81), (0, 81)): 1}"
