rep,covers,group
K15a61373,"[1, 1, 1, 1, 7, 9]","['K15a61373', 'K15a62104']"
K14a2522,"[1, 2, 1, 1, 3, 2]","['K14a2522', 'K14a2524']"
K15n20637,"[1, 1, 2, 2, 6, 13]","['K15n20637', 'K15n3527']"
K15n14718,"[1, 1, 1, 3, 7, 9]","['K15n14718', 'K15n15131']"
K15a515,"[1, 1, 1, 3, 3, 5]","['K15a515', 'K15a711']"
K15n541,"[1, 1, 2, 6, 12, 4]","['K15n541', 'K15n828']"
K15n1056,"[1, 1, 2, 3, 10, 5]","['K15n1056', 'K15n964']"
K15n15897,"[1, 1, 2, 3, 9, 6]","['K15n15897', 'K15n17475']"
K15a28596,"[1, 1, 1, 3, 5, 5]","['K15a28596', 'K15a28598']"
K15a5611,"[1, 5, 4, 2, 19, 20]","['K15a5611', 'K15a8513']"
K15n16953,"[1, 1, 1, 1, 1, 5]","['K15n16953', 'K15n19930']"
K14n109,"[1, 1, 2, 2, 8, 6]","['K14n109', 'K14n332']"
K15n1229,"[1, 1, 2, 1, 5, 4]","['K15n1229', 'K15n943']"
K15n13031,"[1, 2, 2, 2, 8, 6]","['K15n13031', 'K15n13116']"
K15n118004,"[1, 2, 5, 3, 22, 14]","['K15n118004', 'K15n118034']"
K15a36228,"[1, 5, 18, 10, 156, 325]","['K15a36228', 'K15a54419']"
K15a2223,"[1, 1, 1, 2, 6, 4]","['K15a2223', 'K15a2228']"
K15n115421,"[1, 1, 1, 4, 10, 39]","['K15n115421', 'K15n32322']"
K14n2067,"[1, 1, 1, 2, 2, 2]","['K14n2067', 'K14n2154']"
K15n123945,"[1, 1, 1, 3, 9, 11]","['K15n123945', 'K15n123975']"
K15a57802,"[1, 1, 1, 2, 9, 6]","['K15a57802', 'K15a58661']"
K15a59695,"[1, 2, 4, 2, 10, 5]","['K15a59695', 'K15a59705']"
K15n29806,"[1, 1, 1, 2, 2, 6]","['K15n29806', 'K15n31562']"
K15a16186,"[1, 2, 5, 3, 19, 12]","['K15a16186', 'K15a16192']"
K15n53515,"[1, 2, 6, 15, 33, 61]","['K15n53515', 'K15n53729']"
K15n43943,"[1, 1, 2, 2, 6, 5]","['K15n43943', 'K15n43969']"
K15n44922,"[1, 1, 2, 4, 6, 4]","['K15n44922', 'K15n49560']"
K15n10480,"[1, 1, 1, 2, 2, 4]","['K15n10480', 'K15n10584']"
K15n825,"[1, 1, 2, 1, 7, 5]","['K15n825', 'K15n976']"
K15n123705,"[1, 1, 2, 7, 17, 11]","['K15n123705', 'K15n123780']"
K15n20822,"[1, 2, 5, 4, 30, 23]","['K15n20822', 'K15n3624']"
K15a26840,"[1, 1, 2, 3, 9, 7]","['K15a26840', 'K15a33432']"
K15n33203,"[1, 2, 2, 2, 10, 15]","['K15n33203', 'K15n33210']"
K15n12713,"[1, 1, 1, 1, 3, 8]","['K15n12713', 'K15n13239']"
K15n107013,"[1, 1, 1, 3, 5, 9]","['K15n107013', 'K15n46445']"
K15n21939,"[1, 1, 1, 2, 4, 8]","['K15n21939', 'K15n21944']"
K15n1723,"[1, 1, 1, 2, 2, 8]","['K15n1723', 'K15n1747']"
K15n130838,"[1, 1, 1, 1, 5, 11]","['K15n130838', 'K15n139527', 'K15n139537']"
K15a646,"[1, 1, 2, 1, 3, 7]","['K15a646', 'K15a677']"
