K15n73323,"[1, 1, 1, 2, 4, 7]",['K15n73323']
K15n96638,"[1, 1, 1, 2, 4, 3]",['K15n96638']
K15n122039,"[1, 2, 2, 6, 38, 14]",['K15n122039']
K15n122166,"[1, 2, 2, 6, 38, 17]",['K15n122166']
K15n31437,"[1, 1, 1, 2, 2, 6]",['K15n31437']
K15n31756,"[1, 1, 1, 2, 2, 5]",['K15n31756']
K15n14920,"[1, 2, 1, 5, 9, 4]",['K15n14920']
K15n17407,"[1, 2, 1, 5, 9, 5]",['K15n17407']
K15n43502,"[1, 1, 1, 3, 7, 5]",['K15n43502']
K15n73670,"[1, 1, 1, 3, 7, 7]",['K15n73670']
K15a53535,"[1, 1, 1, 4, 5, 13]",['K15a53535']
K15a53538,"[1, 1, 1, 4, 5, 11]",['K15a53538']
K15n32905,"[1, 1, 2, 2, 5, 4]",['K15n32905']
K15n32988,"[1, 1, 2, 2, 5, 6]",['K15n32988']
K15n10668,"[1, 1, 1, 2, 8, 10]","['K15n10668', 'K15n10696']"
K15n6881,"[1, 1, 1, 2, 8, 9]",['K15n6881']
K13n327,"[1, 2, 5, 7, 19, 30]",['K13n327']
K13n343,"[1, 2, 5, 7, 19, 18]",['K13n343']
K13n349,"[1, 2, 5, 7, 19, 11]",['K13n349']
K13n511,"[1, 2, 5, 7, 19, 15]",['K13n511']
K15n26181,"[1, 2, 5, 4, 25, 13]",['K15n26181']
K15n30744,"[1, 2, 5, 4, 25, 9]",['K15n30744']
K15a10035,"[1, 1, 2, 1, 3, 14]","['K15a10035', 'K15a7627']"
K15a7160,"[1, 1, 2, 1, 3, 12]",['K15a7160']
K15a22812,"[1, 1, 1, 3, 3, 3]",['K15a22812']
K15a22819,"[1, 1, 1, 3, 3, 2]",['K15a22819']
K15n11952,"[1, 1, 1, 3, 8, 7]",['K15n11952']
K15n13291,"[1, 1, 1, 3, 8, 5]",['K15n13291']
K13a385,"[1, 1, 2, 2, 3, 4]",['K13a385']
K13a411,"[1, 1, 2, 2, 3, 6]",['K13a411']
K15n10263,"[1, 1, 1, 5, 15, 21]","['K15n10263', 'K15n8187']"
K15n20043,"[1, 1, 1, 5, 15, 18]",['K15n20043']
K15n7915,"[1, 1, 1, 5, 15, 19]",['K15n7915']
K15a7023,"[1, 1, 1, 3, 6, 5]",['K15a7023']
K15a7506,"[1, 1, 1, 3, 6, 4]",['K15a7506']
