name,crossings,alexander_polynomial,matched_name
19nh_009079184,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009079448,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009079456,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009081955,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009082272,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009082344,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009082880,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009083786,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009084063,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009084064,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009085304,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009085336,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009085337,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009090983,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009091121,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009092977,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009093325,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009094542,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009094640,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009095472,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009096648,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009096647,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009097047,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009099766,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009100614,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009102300,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009102427,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009102730,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009102883,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009103060,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009103890,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009105097,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009105960,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009107838,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009109057,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009109058,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009109059,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009109060,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009109061,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009109062,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009109064,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009109063,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009110929,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009111158,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009111677,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009111678,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009112805,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009114340,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009118068,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009118844,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009120786,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009122949,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009123012,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009123468,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009123830,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009123914,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009128193,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009129834,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009132256,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009134341,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009134340,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009134705,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009134791,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009137684,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009137685,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009137728,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009137729,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009138019,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009138020,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009138254,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009138712,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009139219,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009139617,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009140625,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009141668,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009143376,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009143559,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009146311,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009148465,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009149245,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009150336,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009150486,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009150487,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009155093,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009157074,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009159659,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009160050,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009160278,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009162137,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009163407,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009164571,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009164821,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009166626,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009166627,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009166628,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009166629,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009168173,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009168174,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009173644,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009174350,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009174835,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009175793,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009176010,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009176530,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009176531,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009182650,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009182943,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009184687,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009184916,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009186669,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009188301,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009189499,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009191242,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009191243,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009191347,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009192170,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009192663,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009193318,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009194009,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009194478,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009194826,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009194827,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009195600,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009197262,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009197291,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009198571,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009199764,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009200916,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009202564,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009202700,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009204597,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009208036,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009208270,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009211704,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009212205,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009212206,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009213436,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009213437,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009218348,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009221801,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009221845,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009223082,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009224437,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009226029,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009226567,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009226861,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009228287,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009228831,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009233513,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009233994,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009233995,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009233996,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009233997,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009235266,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009236553,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009237626,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009239878,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009240819,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009241213,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009242685,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009246675,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009247175,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009248245,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009248812,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009249925,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009249927,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009249926,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009249928,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009252338,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009252588,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009252960,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009254713,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009254714,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009256386,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009257189,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009258069,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009258106,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009258107,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009258108,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009258109,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009258110,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009258111,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009258112,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009258113,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009259205,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009259492,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009259491,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009260123,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009260364,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009260412,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009261064,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009262253,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009262348,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009262349,19,"{0: 2, 1: -5, 2: 2}",6_1
