name,crossings,alexander_polynomial,matched_name
17nh_0002965,17,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
17nh_0003007,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0003066,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0003090,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0003091,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0003114,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0003135,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0003144,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0003165,17,"{0: 2, 1: -8, 2: 11, 3: -8, 4: 2}",8_14
17nh_0003186,17,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}",8_19
17nh_0003193,17,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
17nh_0003221,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0003269,17,"{0: 4, 1: -7, 2: 4}",7_4
17nh_0003307,17,"{0: 2, 1: -5, 2: 5, 3: -5, 4: 2}",8_4
17nh_0003368,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0003422,17,"{0: 4, 1: -7, 2: 4}",7_4
17nh_0003423,17,"{0: 4, 1: -7, 2: 4}",7_4
17nh_0003437,17,"{0: 4, 1: -7, 2: 4}",7_4
17nh_0003451,17,"{0: 4, 1: -9, 2: 4}",8_3
17nh_0003471,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0003499,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0003500,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0003530,17,"{0: 1, 1: -3, 2: 4, 3: -5, 4: 4, 5: -3, 6: 1}",8_5
