knot,symmetry_group,verified,amphichiral
K15n40376,0,True,False
K14n24864,0,True,False
K15n107945,0,True,False
K14n15303,0,True,False
K13n2543,0,True,False
K13n2546,0,True,False
K13n2547,0,True,False
K13n2548,0,True,False
K13n2551,Z/2,True,False
K13n2552,0,True,False
K11a266,Z/2,True,False
K11a270,0,True,False
K11a272,0,True,False
K11a274,0,True,False
K11a278,Z/2,True,False
K11a280,Z/2,True,False
K14n15307,0,True,False
K14n15308,0,True,False
K11a285,Z/2,True,False
K11a287,0,True,False
K11a288,Z/2,True,False
K15n78125,0,True,False
K15n78126,Z/2,True,False
K11a289,0,True,False
K15n40379,Z/2,True,False
K15n40382,0,True,False
K15n40395,Z/2,True,False
K14n15315,0,True,False
K14n15322,0,True,False
K14n15323,0,True,False
K14n15325,0,True,False
K13n2564,0,True,False
K13n2577,0,True,False
K13n2585,Z/2,True,False
K13n2590,0,True,False
K13n2594,0,True,False
K13n2602,0,True,False
K15n40396,0,True,False
K15n40402,0,True,False
K15n40408,0,True,False
K15n40411,0,True,False
K15n40412,0,True,False
K15n40413,0,True,False
K15n40424,0,True,False
K15n40427,0,True,False
K14n15326,0,True,False
K14n15329,0,True,False
K13n2603,0,True,False
K11a290,0,True,False
K15n40438,0,True,False
K15n40441,0,True,False
K14n15330,0,True,False
K14n15335,Z/2,True,False
K14n15337,0,True,False
K15n78130,0,True,False
K11a300,0,True,False
K11a303,0,True,False
K11a313,Z/2,True,False
K11a315,0,True,False
K11a316,0,True,False
K11a317,Z/2,True,False
K15n40443,0,True,False
K15n40445,0,True,False
K15n40448,0,True,False
K15n78141,0,True,False
K11a326,0,True,False
K11a332,Z/2 + Z/2,True,False
K11a333,D4,True,False
K11a350,Z/2,True,False
K14n15343,0,True,False
K11a351,Z/2 + Z/2,True,False
K11n4,0,True,False
K11n6,0,True,False
K11n12,Z/2 + Z/2,True,False
K11n18,Z/2 + Z/2,True,False
K11n21,0,True,False
K11n26,0,True,False
K11n28,Z/2 + Z/2,True,False
K11n32,0,True,False
K11n34,0,True,False
K11n37,0,True,False
K11n39,Z/2,True,False
K11n42,0,True,False
K11n45,Z/2,True,False
K11n48,Z/2,True,False
K11n49,Z/2 + Z/2,True,False
K11n50,Z/2,True,False
K11n51,Z/2,True,False
K11n53,Z/2,True,False
K11n55,Z/2,True,False
K11n62,Z/2 + Z/2,True,False
K11n65,Z/2,True,False
K11n67,0,True,False
K11n73,Z/2,True,False
K11n74,Z/2 + Z/2 + Z/2,True,False
K11n83,Z/2,True,False
K11n85,Z/2,True,False
K11n86,Z/2,True,False
K11n94,Z/2,True,False
K11n97,0,True,False
K11n98,Z/2,True,False
K11n100,Z/2,True,False
K11n110,0,True,False
K11n114,0,True,False
K11n115,Z/2,True,False
K11n116,Z/2,True,False
K11n119,Z/2,True,False
K11n123,Z/2,True,False
K11n130,0,True,False
K11n132,Z/2,True,False
K11n142,Z/2 + Z/2,True,False
K11n143,Z/2,True,False
K11n145,Z/2,True,False
K11n153,Z/2,True,False
K11n156,Z/2,True,False
K11n157,Z/2,True,False
K11n165,Z/2,True,False
K11n172,0,True,False
K11n179,Z/2,True,False
K11n182,Z/2,True,False
K14n15352,0,True,False
K15n97288,0,True,False
K15n97295,0,True,False
K15n97297,0,True,False
K13n2610,0,True,False
K14a6021,0,True,False
K14n24868,Z/2,True,False
K14n24870,0,True,False
K13n2614,Z/2,True,False
K13n2618,0,True,False
K13n2622,0,True,False
K13n2623,0,True,False
K14n24875,Z/2,True,False
K14n24882,0,True,False
K15n78145,0,True,False
K15n78146,0,True,False
K15n78150,0,True,False
K15n78151,0,True,False
K14n15358,0,True,False
K14n15362,0,True,False
K13n2624,0,True,False
K13n2633,0,True,False
K15n46,0,True,False
K14n15366,0,True,False
K14n15368,0,True,False
K15n97301,0,True,False
K13n3229,0,True,False
K14n16554,0,True,False
K15n40685,0,True,False
K14n16562,Z/2 + Z/2,True,False
K15n78440,0,True,False
K15n88082,0,True,False
K15n146868,0,True,False
K15n30617,Z/2,True,False
K15n78446,0,True,False
K15n59611,0,True,False
K15n50081,0,True,False
K15n50082,0,True,False
K13n3230,0,True,False
K13n3238,Z/2,True,False
K13n3242,0,True,False
K15n127576,0,True,False
K15n127577,0,True,False
K14a17434,Z/2 + Z/2,True,False
K15n40686,Z/2,True,False
K15n40698,0,True,False
K15n78449,0,True,False
K14n16564,0,True,False
K14n16570,0,True,False
K14n26143,0,True,False
K14n16577,0,True,False
K14n26144,0,True,False
K13n3245,Z/2,True,False
K13n3246,0,True,False
K13n3247,Z/2,True,False
K13n3255,0,True,False
K13n3258,0,True,False
K13n3262,Z/2,True,False
K13n3272,0,True,False
K15n127585,0,True,False
K14a17437,Z/2,True,False
K15n40699,Z/2,True,False
K15n117774,0,True,False
K15n117780,Z/2,True,False
K15n156687,0,True,False
K15n156689,0,True,False
K15n69134,0,True,False
K15n69135,0,True,False
K15a55652,0,True,False
K15a55655,0,True,False
K14n7342,0,True,False
K14n7344,0,True,False
K15n78450,0,True,False
K14n7350,0,True,False
K15n30629,0,True,False
K15n30630,0,True,False
K13n3277,0,True,False
K14a7324,Z/2 + Z/2,True,False
K15n50088,0,True,False
K15n50092,0,True,False
K14a17440,Z/2 + Z/2,True,False
K13n3282,0,True,False
K13n3284,0,True,False
K15n78455,0,True,False
K15n78461,0,True,False
K15n78468,0,True,False
K15n78470,0,True,False
K13n3286,Z/2,True,False
K13n3287,Z/2,True,False
K15n78475,0,True,False
K15a45563,0,True,False
K13n3288,0,True,False
K13n3290,0,True,False
K13n3296,0,True,False
K13n3298,0,True,False
K13n3300,0,True,False
K13n3304,Z/2,True,False
K13n3310,0,True,False
K13n3313,0,True,False
K13n3315,0,True,False
K13n3317,0,True,False
K13n3321,Z/2,True,False
K15n108109,0,True,False
K15n108110,0,True,False
K14n16578,0,True,False
K14n16582,0,True,False
K14n16584,0,True,False
K14n16592,0,True,False
K14n16604,Z/2,True,False
K14n26148,0,True,False
K13n3324,0,True,False
K15n117783,0,True,False
K14n16623,0,True,False
K14n16632,0,True,False
K14n7352,0,True,False
K15n50101,0,True,False
K15n50103,0,True,False
K15n50106,0,True,False
K15n137304,0,True,False
K15n50133,0,True,False
K14n26158,0,True,False
K15a45569,0,True,False
K14n7356,0,True,False
K15n127587,0,True,False
K13n3325,0,True,False
K13n3327,0,True,False
K13n3328,0,True,False
K13n3331,0,True,False
K15n78478,0,True,False
K15n78480,0,True,False
K14n16639,0,True,False
K14n16640,0,True,False
K14n16648,0,True,False
K13n3336,0,True,False
K15n78482,0,True,False
K14n26159,0,True,False
K15n78486,0,True,False
K15n78490,Z/2,True,False
K14n26160,0,True,False
K15a55663,0,True,False
K14n7357,0,True,False
K14n7359,0,True,False
K14n7366,0,True,False
K14n7367,0,True,False
K14n7370,0,True,False
K14n7372,0,True,False
K14n26162,0,True,False
K14n26176,Z/2,True,False
K15n137306,Z/2,True,False
K15n137310,0,True,False
K15n137315,0,True,False
K15n137323,0,True,False
K15n137326,0,True,False
K15n137330,0,True,False
K15n137332,Z/2,True,False
K15a55666,0,True,False
K14n7373,0,True,False
K14n7376,0,True,False
K14n7380,Z/2,True,False
K14n7381,Z/2,True,False
K15n30638,0,True,False
K13n3340,0,True,False
K14n26178,0,True,False
K13n3345,0,True,False
K13n3346,0,True,False
K13n3353,Z/2,True,False
K14n7384,Z/2,True,False
K14n7385,0,True,False
K14n7389,0,True,False
K15n156690,0,True,False
K14n7396,0,True,False
K14n7397,0,True,False
K14a17441,Z/2 + Z/2,True,False
K15a26600,Z/2,True,False
K14n26179,0,True,False
K14n26181,0,True,False
K14n16651,0,True,False
K13n3360,Z/2,True,False
K13n3366,0,True,False
K13n3370,Z/2,True,False
K13n3373,0,True,False
K14n16652,0,True,False
K14n16654,0,True,False
K14n7401,0,True,False
K15n127611,0,True,False
K12a1,0,True,False
K14n16658,0,True,False
K14n7404,0,True,False
K14n7408,0,True,False
K14n7411,0,True,False
K15n127614,0,True,False
K13n3377,Z/2,True,False
K13n3381,Z/2,True,False
K14n16660,Z/2,True,False
K15n50138,0,True,False
K15n50140,0,True,False
K15n20489,0,True,False
K15n20490,0,True,False
K15n40706,0,True,False
